title,authers,abstract,type,date_pub,journal,date_added,figuers,full_text,citation,interest,reads
Media and time,"['Emily Keightley', 'Sabina Mihelj', 'Aswin Punathambekar']",,Article,2021.0, Media Culture & Society,13h ago,0,"
Request full-text",0,,17
Myths about Myths? A Commentary on Thomas (2020) and the Question of Jury Rape Myth Acceptance,"['Ellen Daly', 'Olivia Smith', 'Hannah Bows[...]', 'Dominic Willmott']","This commentary responds to claims that research by Cheryl Thomas 'shows' no problem with rape myths in English and Welsh juries. We critique the claim on the basis of ambiguous survey design, a false distinction between 'real' jurors and other research participants, the conflation of attitudes in relation to abstract versus applied rape myths, and misleading interpretation of the data. Ultimately, we call for a balanced appraisal of individual studies by contextualising them against the wider literature.",Article,2021.0, Journal of Gender-Based Violence,6d ago,1,"
Download",0,1.0,32
Creative Memory,"['Jasmine Hornabrook', 'Clelia Clini', 'Emily Keightley']",,Chapter,2021.0,,Nov 18,0,"
Request full-text",0,0.0,7
"The United Kingdom Independence Party (UKIP) and the British Press: Integration, Immigration and Integrity","['David Deacon', 'Dominic Wring']",,Chapter,2015.0,,Oct 30,0,"
Request full-text",0,,2
A direct observation of pain scale use in five video-recorded palliative care consultations: Using conversation analysis to show how practitioners support patients to describe pain,"['Laura Jenkins', 'Ruth H Parry', 'Christina Faull']","Objective Assessing pain intensity is an important palliative care task. Self-report pain intensity scales are frequently used within assessment. In contrast to formal studies of validity and reliability, we examine administration of, and responses to these scales in everyday palliative care. Methods We searched episodes of pain scale use in a dataset of (video/audio-recorded) UK palliative care consultations involving five doctors, 37 terminally ill patients and their companions. We found five, and applied the techniques and tools of conversation analysis to characterise scales’ administration and functioning. Results Generally, the patients responded to scales by reporting multiple aspects of pain; the doctors supported and encouraged this. In two episodes, the scales generated misunderstandings. The doctors worked to resolve these in ways that avoided implying the patient was at fault. Conclusion Pain intensity scales can yield richer information than just intensity. They can also generate misunderstandings and social friction which take skill and effort to resolve. Practice Implications Patients tend to respond to pain intensity scales by reporting on multiple aspects of pain, professionals should support them in this. These scales sometimes generate misunderstandings. To preserve the therapeutic relationship, professionals should work to resolve these without implying the patient is to blame.",Article,2021.0, Patient Education and Counseling,Oct 28,0,"
Request full-text",0,0.0,9
The Cold Truth: Art as Fulcrum for Recovery in Participants and for Civic Change,['Eloise Malone'],"This article describes art curating with sexually exploited young people. It reviews The Cold Truth: an exhibition produced by CSE survivors at Radiant Gallery, Plymouth, UK, 2016. The article proposes that the quality of the art produced by young people can catalyse social and civic change through public engagement and service commissioner adoption; and a pathway to psychosocial recovery for participants. It examines the transformative power of the art object created during the intervention. The article draws on Frogett et al’s “Aesthetic Third” to propose artwork as a fulcrum between silenced children, and communities which avoid unpalatable truths. It proposes that artworks eliciting empathetic responses are more powerful than those stimulating sympathetic responses. It offers Matarasso’s indicators of great art as language to consider the quality of art created by children, and to advocate that service leaders and commissioners use quality art processes to design and deliver effective services.",Article,2017.0, Journal of Social Work Practice,Oct 25,0,"
Download",1,0.0,22
The Future of Poverty Research: Panel Session,"['John Hills', 'Jonathan Bradshaw', 'Ruth Lister', 'Janet Lewis']",,Chapter,2018.0,,Oct 24,0,"
Request full-text",0,0.0,7
Dispositional Mindfulness Reduces Burnout and Promotes Flourishing in Medical Students: a Two-Wave Latent Change Score Model,"['Denisse Zúñiga', 'Manuel Torres-Sahli', 'Attilio Rigotti[...]', 'Marcela Bitran']","Objectives Many studies document the high prevalence of burnout among medical students. This syndrome may lead to depression, suicidal ideation, and increased academic dropout. However, there is a scarcity of evidence-based interventions to prevent it. The aim of this longitudinal study was to identify factors that may reduce students’ burnout and foster their well-being, and upon which effective interventions can be developed.MethodsA total of 1,117 medical students from eight Chilean universities were asked to complete a set of validated scales in 2015 and 2 years later, in 2017. The measures included distress, burnout, positive mental health, academic engagement, and dispositional mindfulness. Using logistic regressions and a two-wave latent change score model, the predictive power of these variables on burnout and flourishing (an optimal state of mental health) was studied, as well as their covariance across time.ResultsIn total, 639 (57.2%) students answered the questionnaires in T1 and T2; 54.4% reported burnout in T1 and 56.2% in T2. Levels of dispositional mindfulness (the ability to pay attention to one’s sensations, thoughts, and emotions in everyday life) predicted lower probabilities of burning out at 2 years, whereas having experienced burnout in T1 doubled these odds. Dispositional mindfulness, academic engagement, and flourishing at T1 predicted greater odds of flourishing 2 years later, while depression decreased these odds.Conclusions Dispositional mindfulness was the most powerful predictive factor of students’ burnout and flourishing. As dispositional mindfulness can be nurtured through practice, incorporating mindfulness training into undergraduate medical programs may help reduce burnout a
… Read more",Article,2021.0, Mindfulness,Oct 21,1,"
Download",0,2.0,40
Book review: The Dawn of the Cheap Press in Victorian Britain: The End of the 'Taxes on Knowledge,['Michael Pickering'],,Article,2016.0, European Journal of Communication,Oct 20,0,"
Download",0,0.0,18
Partial news: Election editorializing in inter-war Britain,"['Dominic Wring', 'David Deacon']",,Chapter,2021.0,,Oct 17,0,"
Request full-text",0,0.0,6
