title,authers,abstract,type,date_pub,journal,date_added,figuers,full_text,citation,interest,reads,or_abt,topic_dist,main_topic,topic_dist_cx,main_topic_cx,topic_dist2,main_topic2,politics_and_economics,sexuality,covid,women,criminology,education,health_medicine,child_family,community_service,t_length_w,a_length_s,a_length_w,abstract_sent,title_sent,a_neg,a_neu,a_pos,a_compound,t_neg,t_neu,t_pos,t_compound,authers_num,date_days,reads_map,cluster
Does the platform matter? Social media and COVID-19 conspiracy theory beliefs in 17 countries,"['Yannis Theocharis', 'Ana Cardenal', 'Soyeon Jin[...]', 'Václav Štětka']",role medium spread conspiracy theory received much attention key deficit previous lack distinction different type platform study place role medium affordances facilitating spread conspiracy belief center enquiry examine relationship platform conspiracy theory belief related covid pandemic relying concept technological affordances theorize variation across key feature make platform fertile place conspiracy belief others using crossnational dataset based wave online conducted country onset covid pandemic show twitter negative effect conspiracy beliefsas opposed platform examination found positive effect,Article,2021.0,399,Oct 10,1,1,0,19.0,370,"While the role of social media in the spread of conspiracy theories has received much attention, a key deficit in previous research is the lack of distinction between different types of platforms. This study places the role of social media affordances in facilitating the spread of conspiracy beliefs at the center of its enquiry. We examine the relationship between platform use and conspiracy theory beliefs related to the COVID-19 pandemic. Relying on the concept of technological affordances, we theorize that variation across key features make some platforms more fertile places for conspiracy beliefs than others. Using data from a crossnational dataset based on a two-wave online survey conducted in 17 countries before and after the onset of the COVID-19 pandemic, we show that Twitter has a negative effect on conspiracy beliefs—as opposed to all other platforms under examination which are found to have a positive effect.","[0.011248, 0.0, 0.13278853, 0.0, 0.00059997, 0.02139743, 0.01126458, 0.0, 0.0, 0.00374594, 0.0, 0.01282312]",covid,"[1.00000000e-06 9.99999000e-01 1.00000000e-06 1.00000000e-06
 1.00000000e-06 1.00000000e-06 1.00000000e-06 1.54857013e-06
 9.99999000e-01 2.63588340e-06 1.00000000e-06 1.00000000e-06]",covid,"[0.01275377, 0.0, 0.13830876, 0.0, 0.00355007, 0.02406563, 0.01380995, 0.0, 0.0]",covid,0.01275377,0.0,0.13830876,0.0,0.00355007,0.02406563,0.01380995,0.0,0.0,15,5,75,"{'neg': 0.27, 'neu': 0.693, 'pos': 0.038, 'compound': -0.9686}","{'neg': 0.206, 'neu': 0.727, 'pos': 0.067, 'compound': -0.5106}",0.27,0.693,0.038,-0.9686,0.206,0.727,0.067,-0.5106,4,77.0,1,3
Range of antinuclear antibodies in “healthy” individuals,"['Eng M Tan', 'T. E. W. Feltkamp', 'J S Smolen[...]', 'JA Koziol']",determine range antinuclear antibody ana healthy individual compared patient systemic lupus erythematosus sle systemic sclerosis ssc scleroderma sjögren syndrome s rheumatoid arthritis ra soft tissue rheumatism str fifteen international laboratory experienced performing test ana indirect immunofluorescence participated analyzing coded serum healthy individual patient different disease group described except stipulation hep cell substrate laboratory house methodology might expected reflect output cross section worldwide ana reference laboratory serum analyzed dilution healthy individual frequency ana differ significantly across age subgroup spanning year age putatively normal population ana positive individual serum dilution comparison finding among disease group low cutoff point serum dilution high sensitivity low specificity could diagnostic value since would classify virtually patient sle ssc s ana positive conversely high positive cutoff serum dilution high specificity low sensitivity would useful confirm presence disease portion case would likely exclude normal individual recommended laboratory performing immunofluorescent ana test report result dilution supply information percen read,Article,1997.0,33,Aug 1,0,0,586,293.0,307,"To determine the range of antinuclear antibodies (ANA) in ""healthy"" individuals compared with that in patients with systemic lupus erythematosus (SLE), systemic sclerosis (SSc; scleroderma), Sjögren's syndrome (SS), rheumatoid arthritis (RA), or soft tissue rheumatism (STR). Fifteen international laboratories experienced in performing tests for ANA by indirect immunofluorescence participated in analyzing coded sera from healthy individuals and from patients in the 5 different disease groups described above. Except for the stipulation that HEp-2 cells should be used as substrate, each laboratory used its own in-house methodology so that the data might be expected to reflect the output of a cross-section of worldwide ANA reference laboratories. The sera were analyzed at 4 dilutions: 1:40, 1:80, 1:160, and 1:320. In healthy individuals, the frequency of ANA did not differ significantly across the 4 age subgroups spanning 20-60 years of age. This putatively normal population was ANA positive in 31.7% of individuals at 1:40 serum dilution, 13.3% at 1:80, 5.0% at 1:160, and 3.3% at 1:320. In comparison with the findings among the disease groups, a low cutoff point at 1:40 serum dilution (high sensitivity, low specificity) could have diagnostic value, since it would classify virtually all patients with SLE, SSc, or SS as ANA positive. Conversely, a high positive cutoff at 1:160 serum dilution (high specificity, low sensitivity) would be useful to confirm the presence of disease in only a portion of cases, but would be likely to exclude 95% of normal individuals. It is recommended that laboratories performing immunofluorescent ANA tests should report results at both the 1:40 and 1:160 dilutions, and should supply information on the percen
… Read more","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11836019, 0.0, 0.00359674, 0.0, 0.0, 0.0]",health_medicine,"[1.00000000e-06 9.99999000e-01 1.00000000e-06 1.00000000e-06
 1.00000000e-06 1.00000000e-06 1.00000000e-06 1.00000000e-06
 1.00000000e-06 1.40380542e-06 9.99999000e-01 9.99999000e-01]",covid,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13016554, 0.0, 0.0]",health_medicine,0.0,0.0,0.0,0.0,0.0,0.0,0.13016554,0.0,0.0,9,9,150,"{'neg': 0.048, 'neu': 0.798, 'pos': 0.154, 'compound': 0.9571}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.048,0.798,0.154,0.9571,0.0,1.0,0.0,0.0,4,138.0,1,2
"Facilitativeness, Conflict, Demand for Approval, Self-Esteem, and Satisfaction With Romantic Relationships",['Duncan Cramer'],study examination extent satisfaction main current romantic relationship associated negative conflict demand approval self esteem facilitative condition unconditional regard empathy congruence condition proposed important determinant relationship satisfaction various relationship enhancement approach behavioral marital therapy cognitive behavioral marital therapy college student woman men completed hendrick relationship satisfaction scale measure negative conflict formulated author r g jones demand approval scale modified particular relationship rosenberg self esteem scale shortened modified version g barrett lennard relationship inventory relationship satisfaction strongly related level regard empathy consistent approach relationship emphasize empathy training,Article,2003.0,534,Mar 24,0,1,56,30.0,358,"This study is an examination of the extent to which satisfaction with a main current romantic relationship is associated with negative conflict, demand for approval, self-esteem, and the 3 facilitative conditions of unconditional regard, empathy, and congruence. One or more of these conditions have been proposed as important determinants of relationship satisfaction by various relationship-enhancement approaches such as behavioral marital therapy and cognitive-behavioral marital therapy. College students (86 women and 58 men) completed S. S. Hendrick's (1988) Relationship Satisfaction Scale, a measure of negative conflict formulated by the author, R. G. Jones's (1969) Demand for Approval Scale (modified for a particular relationship), M. Rosenberg's (1965) Self-Esteem Scale, and a shortened modified version of G. T. Barrett-Lennard's (1964) Relationship Inventory. Relationship satisfaction was most strongly related to the level of regard and empathy, which is consistent with approaches to relationships that emphasize empathy training.","[0.00530552, 0.01188284, 0.0, 0.03159783, 0.01231315, 0.03851357, 0.05733974, 0.00026992, 0.0, 0.0, 0.0, 0.0]",health_medicine,"[1.00000e-06 1.00000e-06 9.99999e-01 9.99999e-01 9.99999e-01 1.00000e-06
 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 9.99999e-01 1.00000e-06]",education,"[0.00832297, 0.01338014, 0.0, 0.03301224, 0.0, 0.04010117, 0.06277411, 0.0, 0.0]",health_medicine,0.00832297,0.01338014,0.0,0.03301224,0.0,0.04010117,0.06277411,0.0,0.0,15,4,86,"{'neg': 0.139, 'neu': 0.623, 'pos': 0.238, 'compound': 0.8625}","{'neg': 0.205, 'neu': 0.324, 'pos': 0.47, 'compound': 0.7096}",0.139,0.623,0.238,0.8625,0.205,0.324,0.47,0.7096,1,277.0,1,2
"Speaking out against everyday sexism: Gender and epistemics in accusations of ""mansplaining""","['Jack Joyce', 'Bogdana Huma', 'Hanna-L. Ristimäki[...]', 'Ann Doehring']",configuration panellist accusation,Article,2021.0,189,Feb 5,1,1,5,1.0,346,Configuration of panellists before the accusation 2 .,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00045129, 0.0, 0.0, 0.0, 0.00224891, 0.0]",community_service,"[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06
 1.e-06 1.e-06]",politics,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00046656, 0.0, 0.00240833]",community_service,0.0,0.0,0.0,0.0,0.0,0.0,0.00046656,0.0,0.00240833,15,1,3,"{'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.25}","{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.3182}",0.5,0.5,0.0,-0.25,0.173,0.827,0.0,-0.3182,4,138.0,1,0
Angelo Soliman: desecrated bodies and the spectre of Enlightenment racism,"['Iris Wigger', 'Spencer Hadley']",soliman representation noble moor,Article,2020.0,446,Jan 18,1,1,1,1.0,200,Soliman's representation as 'noble moor'.,"[0.00217151, 0.00210909, 0.00025747, 0.00771877, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",women,"[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06
 1.e-06 1.e-06]",politics,"[0.00159197, 0.00238929, 0.00033444, 0.00852736, 0.00051722, 0.0, 0.0, 0.0, 0.0]",women,0.00159197,0.00238929,0.00033444,0.00852736,0.00051722,0.0,0.0,0.0,0.0,11,1,4,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}","{'neg': 0.313, 'neu': 0.687, 'pos': 0.0, 'compound': -0.6249}",0.0,0.5,0.5,0.4588,0.313,0.687,0.0,-0.6249,2,342.0,1,5
"Introduction: Social Media, Politics and Democracy in Post-transition Central and Eastern Europe","['Pawel Surowiec', 'Václav Štětka']",level democratisation among state discussed volume,Chapter,2018.0,569,Aug 1,1,1,2,1.0,711,.1 Levels of democratisation among states discussed in this volume,"[0.02479683, 0.0, 0.00926393, 0.0, 0.0, 0.00513502, 0.02742186, 0.0, 0.0, 0.0, 0.0, 0.0]",health_medicine,"[9.99999e-01 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06
 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06]",politics,"[0.02265538, 0.0, 0.00871551, 0.0, 0.0, 0.00662431, 0.03174591, 0.0, 0.0]",health_medicine,0.02265538,0.0,0.00871551,0.0,0.0,0.00662431,0.03174591,0.0,0.0,14,1,6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,138.0,1,2
Comparative Flavivirus-Host Protein Interaction Mapping Reveals Mechanisms of Dengue and Zika Virus Pathogenesis,"['Priya S. Shah', 'Nichole Link', 'Gwendolyn M. Jang[...]', 'Nevan Krogan']",mosquito borne flavivirus including dengue virus denv zika virus zikv growing public health concern system level flavivirus hijack cellular process virus host protein protein interaction ppis provides information replication pathogenic mechanism affinity purification mass spectrometry ap m compare flavivirus host interaction virus denv zikv host human mosquito conserved virus host ppis revealed flavivirus n protein suppresses interferon stimulated gene inhibiting recruitment transcription complex paf c chemical modulation sec inhibits denv zikv replication human mosquito cell finally identified zikv specific interaction n ankle gene linked hereditary microcephaly showed zikv n cause microcephaly drosophila ankle dependent manner thus comparative flavivirus host ppi mapping provides biological insight coupled vivo model unravel pathogenic mechanism comparing protein protein interaction across dengue zika virus reveals common mechanism functionally distinct pathway contributing infection outcome,Article,8.0,84,Oct 25,0,0,142,79.0,304,"Mosquito-borne flaviviruses, including dengue virus (DENV) and Zika virus (ZIKV), are a growing public health concern. Systems-level analysis of how flaviviruses hijack cellular processes through virus-host protein-protein interactions (PPIs) provides information about their replication and pathogenic mechanisms. We used affinity purification-mass spectrometry (AP-MS) to compare flavivirus-host interactions for two viruses (DENV and ZIKV) in two hosts (human and mosquito). Conserved virus-host PPIs revealed that the flavivirus NS5 protein suppresses interferon stimulated genes by inhibiting recruitment of the transcription complex PAF1C and that chemical modulation of SEC61 inhibits DENV and ZIKV replication in human and mosquito cells. Finally, we identified a ZIKV-specific interaction between NS4A and ANKLE2, a gene linked to hereditary microcephaly, and showed that ZIKV NS4A causes microcephaly in Drosophila in an ANKLE2-dependent manner. Thus, comparative flavivirus-host PPI mapping provides biological insights and, when coupled with in vivo models, can be used to unravel pathogenic mechanisms. Comparing protein-protein interactions across dengue and Zika viruses reveals both common mechanisms and functionally distinct pathways contributing to infection outcomes.","[0.01585564, 0.0, 0.01303189, 0.0, 0.0, 0.0, 0.02921303, 0.0, 0.0, 0.0, 0.0, 0.01036744]",health_medicine,"[1.27987181e-06 1.00000000e-06 1.00000000e-06 1.00000000e-06
 1.00000000e-06 1.00000000e-06 1.00000000e-06 9.99999000e-01
 1.00000000e-06 1.69768203e-06 1.00000000e-06 9.99999000e-01]",sexuality,"[0.01747632, 0.0, 0.01332152, 0.0, 0.0, 0.0, 0.03270366, 0.0, 0.0]",health_medicine,0.01747632,0.0,0.01332152,0.0,0.0,0.0,0.03270366,0.0,0.0,13,7,127,"{'neg': 0.026, 'neu': 0.945, 'pos': 0.029, 'compound': 0.0772}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.026,0.945,0.029,0.0772,0.0,1.0,0.0,0.0,4,62.0,1,2
Voices from the Past: Economic and Political Vulnerabilities in the Making of Next Generation EU Forthcoming in Comparative European Politics (Accepted version),"['Klaus Armingeon', 'Caroline de la Porte', 'Elke Heins', 'Stefano Sacchi']",show next generation eu ngeu mainly response economic political imbalance left eurozone crisis pre emptive intervention especially targeted structurally weak economy rising euroscepticism avoid costly ex post bailouts great recession demonstrate using quantitative pre existing vulnerability rather impact pandemic drove allocation ngeu resource per caput grant largely correspond past economic vulnerability well political one country vulnerable another adjustment austerity covid economic crisis receive resource country strong anti eu sentiment entitled larger ngeu grant per caput contrast grant correlated severity health crisis show domestic relevance economic political vulnerability qualitative case study national political debate domestic position ngeu italy germany netherlands despite innovative trait ngeu politically constrained solution address mess previous decade janus solution promising fresh start haunted past,Preprint,1.0,569,Aug 31,0,1,0,10.0,372,"In this article, we show that Next Generation EU (NGEU) is mainly a response to the economic and political imbalances left over from the Eurozone crisis. It is a pre-emptive intervention, especially targeted at structurally weak economies with rising Euroscepticism, to avoid costly ex-post bailouts as in the Great Recession. We demonstrate, using quantitative analysis, that pre-existing vulnerabilities, rather than the impact of the pandemic, drove the allocation of NGEU resources: per capita grants largely correspond to past economic vulnerabilities, as well as to political ones. Countries most vulnerable to another adjustment by austerity after the Covid-19 economic crisis receive most resources. Also, countries with strong anti-EU sentiments are entitled to larger NGEU grants per capita. In contrast, grants are not correlated with the severity of the health crisis. Then we show the domestic relevance of economic and political vulnerabilities through qualitative case studies of national political debates and domestic positions on NGEU in Italy, Germany and the Netherlands. Despite its innovative traits, NGEU is a politically constrained solution to address the mess from the previous decade, and as such, it is a Janus solution: promising a fresh start, but haunted by the past.","[0.05445248, 0.0, 0.06544958, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00547637, 0.0, 0.0, 0.01078994]",covid,"[9.99999000e-01 9.99999000e-01 1.00000000e-06 1.00000000e-06
 1.00000000e-06 2.18002885e-06 1.00000000e-06 1.00000000e-06
 9.99999000e-01 4.70814450e-06 1.00000000e-06 1.10882307e-03]",politics,"[0.06105502, 0.0, 0.06713174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",covid,0.06105502,0.0,0.06713174,0.0,0.0,0.0,0.0,0.0,0.0,25,8,117,"{'neg': 0.258, 'neu': 0.563, 'pos': 0.18, 'compound': -0.8878}","{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.1531}",0.258,0.563,0.18,-0.8878,0.071,0.929,0.0,-0.1531,4,117.0,1,3
Papua New Guinean Genomes Reveal the Complex Settlement of North Sahul,"['Nicolas Brucato', 'Mathilde André', 'Roxanne Tsang[...]', 'Francois X Ricaut']",settlement sahul lost continent oceania remains ancient debated human migration modern new guinean inherited unique genetic diversity tracing back year yet currently model reconstructing past population dynamic generated new whole genome sequence papua new guinea filling geographical gap previous sampling specifically address alternative scenario initial migration sahul settlement new guinea present first genomic model settlement northeast sahul considering migration wallacea model fit dataset reinforcing idea ancestral group new guinean indigenous australian split early potentially migration wallacea northern route could favored earliest period human presence sahul era interaction gene flow related already differentiated group modern new guinean bismarck islander indigenous australian descend settlement new guinea probably initiated southeast region oldest archaeological site found followed migration south north lowland ultimately reached west east highland identify ancient gene flow population new guinea australia east indonesia bismarck archipelago emphasizing fact anthropological landscape early period sahul settlement highly dynamic rather traditional view extensive isolation,Article,1.0,385,Aug 15,1,1,0,10.0,225,"The settlement of Sahul, the lost continent of Oceania, remains one of the most ancient and debated human migrations. Modern New Guineans inherited a unique genetic diversity tracing back 50,000 years, and yet there is currently no model reconstructing their past population dynamics. We generated 58 new whole genome sequences from Papua New Guinea, filling geographical gaps in previous sampling, specifically to address alternative scenarios of the initial migration to Sahul and the settlement of New Guinea. Here, we present the first genomic models for the settlement of northeast Sahul considering one or two migrations from Wallacea. Both models fit our dataset, reinforcing the idea that ancestral groups to New Guinean and Indigenous Australians split early, potentially during their migration in Wallacea where the northern route could have been favored. The earliest period of human presence in Sahul was an era of interactions and gene flow between related but already differentiated groups, from whom all modern New Guineans, Bismarck islanders and Indigenous Australians descend. The settlement of New Guinea was probably initiated from its southeast region, where the oldest archaeological sites have been found. This was followed by two migrations into the south and north lowlands that ultimately reached the west and east highlands. We also identify ancient gene flows between populations in New Guinea, Australia, East Indonesia and the Bismarck Archipelago, emphasizing the fact that the anthropological landscape during the early period of Sahul settlement was highly dynamic rather than the traditional view of extensive isolation.","[0.04903064, 0.0, 0.0, 0.00483081, 0.00297689, 0.0, 0.03010046, 0.0, 0.0, 0.0059798, 0.0, 0.02315264]",politics,"[1.14260799e-06 1.00000000e-06 1.00000000e-06 1.00000000e-06
 1.00000000e-06 9.99999000e-01 1.00000000e-06 9.99999000e-01
 1.00000000e-06 1.00000000e-06 1.00000000e-06 1.00000000e-06]",criminology,"[0.05699944, 0.0, 0.0, 0.00747925, 0.00247166, 0.0, 0.03353995, 0.0, 0.0]",politics_and_economics,0.05699944,0.0,0.0,0.00747925,0.00247166,0.0,0.03353995,0.0,0.0,11,9,149,"{'neg': 0.038, 'neu': 0.887, 'pos': 0.075, 'compound': 0.7003}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.038,0.887,0.075,0.7003,0.0,1.0,0.0,0.0,4,133.0,1,4
"Hidden in plain sight: the archaeological landscape of Mithaka Country, south-west Queensland","['Michael C. Westaway', 'Douglas Williams', 'Kelsey M Lowe[...]', 'Mark Collard']",ethnohistoric account indicate people australia channel country engaged activity rarely recorded elsewhere continent including food storage aquaculture possible cultivation yet little archaeological fieldwork verify account author report collaborative project initiated mithaka people addressing lack archaeological investigation result show mithaka country substantial diverse archaeological record including numerous large stone quarry multiple ritual structure substantial dwelling archaeological revealed unknown aspect scale mithaka quarrying could stimulate evaluation aboriginal socio economic system part ancient australia,Article,1.0,29,Jun 18,1,1,1,6.0,215,"Ethnohistoric accounts indicate that the people of Australia's Channel Country engaged in activities rarely recorded elsewhere on the continent, including food storage, aquaculture and possible cultivation, yet there has been little archaeological fieldwork to verify these accounts. Here, the authors report on a collaborative research project initiated by the Mithaka people addressing this lack of archaeological investigation. The results show that Mithaka Country has a substantial and diverse archaeological record, including numerous large stone quarries, multiple ritual structures and substantial dwellings. Our archaeological research revealed unknown aspects, such as the scale of Mithaka quarrying, which could stimulate re-evaluation of Aboriginal socio-economic systems in parts of ancient Australia.","[0.00392529, 0.0, 0.0035564, 0.00209528, 0.00803613, 0.00947981, 0.01320735, 0.0, 0.07469092, 0.0, 0.05778513, 0.00745167]",economy,"[1.00000000e-06 1.00000000e-06 1.00000000e-06 9.99999000e-01
 1.00000000e-06 1.00000000e-06 1.18819694e-06 9.99999000e-01
 9.99999000e-01 1.00000000e-06 1.00000000e-06 1.00000000e-06]",community_service,"[0.0204765, 0.0, 0.00711356, 0.00289855, 0.0, 0.00882719, 0.01913789, 0.00224197, 0.06710694]",community_service,0.0204765,0.0,0.00711356,0.00289855,0.0,0.00882719,0.01913789,0.00224197,0.06710694,14,4,71,"{'neg': 0.03, 'neu': 0.849, 'pos': 0.121, 'compound': 0.6124}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.03,0.849,0.121,0.6124,0.0,1.0,0.0,0.0,4,191.0,1,0
