title,authers,abstract,type,date_pub,journal,date_added,figuers,full_text,citation,interest,reads,detect,topic_dist,main_topic,social_work,politics,environment,women,education,criminology,finances,child_abuse,politics_immigration,health_and_medicine,covid,economy,abstract_sent,title_sent,a_neg,a_neu,a_pos,a_compound,t_neg,t_neu,t_pos,t_compound,t_length,a_length_w,a_length_s,authers_num,date_days
Myths about Myths? A Commentary on Thomas (2020) and the Question of Jury Rape Myth Acceptance,"['Ellen Daly', 'Olivia Smith', 'Hannah Bows[...]', 'Dominic Willmott']",commentary responds claim cheryl thomas show problem rape myth english welsh jury critique claim basis ambiguous design false distinction real juror participant conflation attitude relation abstract versus applied rape myth misleading interpretation ultimately call balanced appraisal individual study contextualising wider,Article,2021.0,224,6d ago,1,1,0,1.0,32,en,"[0.00313654 0.0241807  0.01136759 0.         0.         0.01013379
 0.         0.00911714 0.00039772 0.0076156  0.00983743 0.00494944]",politics,0.0031365415178538168,0.02418070390383555,0.011367586380952099,0.0,0.0,0.010133794237648291,0.0,0.009117144915061905,0.00039771591268926833,0.007615604628272933,0.009837427358288853,0.004949444334300026,"{'neg': 0.291, 'neu': 0.709, 'pos': 0.0, 'compound': -0.9413}","{'neg': 0.227, 'neu': 0.628, 'pos': 0.145, 'compound': -0.4019}",0.291,0.709,0.0,-0.9413,0.227,0.628,0.145,-0.4019,19,40,1,4,6.0
A direct observation of pain scale use in five video-recorded palliative care consultations: Using conversation analysis to show how practitioners support patients to describe pain,"['Laura Jenkins', 'Ruth H Parry', 'Christina Faull']",objective assessing pain intensity important palliative care task self report pain intensity scale frequently used within assessment contrast formal study validity reliability examine administration response scale everyday palliative care method searched episode pain scale dataset video audio recorded uk palliative care consultation involving five doctor terminally ill patient companion found five applied technique tool conversation analysis characterise scale administration functioning result generally patient responded scale reporting multiple aspect pain doctor supported encouraged two episode scale generated misunderstanding doctor worked resolve way avoided implying patient fault conclusion pain intensity scale yield richer information intensity also generate misunderstanding friction take skill effort resolve practice implication patient tend respond pain intensity scale reporting multiple aspect pain professional support scale sometimes generate misunderstanding preserve therapeutic relationship professional work resolve without implying patient blame,Article,2021.0,290,Oct 28,0,0,0,0.0,9,en,"[0.03469505 0.         0.03998811 0.         0.         0.
 0.         0.         0.         0.09321883 0.         0.        ]",health_and_medicine,0.034695047145132746,0.0,0.0399881147970134,0.0,0.0,0.0,0.0,0.0,0.0,0.09321883305486274,0.0,0.0,"{'neg': 0.224, 'neu': 0.592, 'pos': 0.183, 'compound': -0.8506}","{'neg': 0.203, 'neu': 0.615, 'pos': 0.182, 'compound': -0.1779}",0.224,0.592,0.183,-0.8506,0.203,0.615,0.182,-0.1779,26,129,1,3,59.0
The Cold Truth: Art as Fulcrum for Recovery in Participants and for Civic Change,['Eloise Malone'],describes art curating sexually exploited young people review cold truth exhibition produced cse survivor radiant gallery plymouth uk proposes quality art produced young people catalyse civic change public engagement service commissioner adoption pathway psychosocial recovery participant examines transformative power art object created intervention draw frogett et al aesthetic third propose artwork fulcrum silenced child community avoid unpalatable truth proposes artwork eliciting empathetic response powerful stimulating sympathetic response offer matarassos indicator great art language consider quality art created child advocate service leader commissioner quality art process design deliver effective service,Article,2017.0,250,Oct 25,0,1,1,0.0,22,en,"[0.06270638 0.01306371 0.00760481 0.         0.         0.
 0.         0.07753238 0.         0.         0.         0.        ]",child_abuse,0.0627063759665369,0.013063707898754199,0.007604807027347791,0.0,0.0,0.0,0.0,0.0775323751844683,0.0,0.0,0.0,0.0,"{'neg': 0.045, 'neu': 0.642, 'pos': 0.313, 'compound': 0.9816}","{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.3182}",0.045,0.642,0.313,0.9816,0.0,0.85,0.15,0.3182,15,89,1,1,62.0
Dispositional Mindfulness Reduces Burnout and Promotes Flourishing in Medical Students: a Two-Wave Latent Change Score Model,"['Denisse Zúñiga', 'Manuel Torres-Sahli', 'Attilio Rigotti[...]', 'Marcela Bitran']",objective many study document high prevalence burnout among medical student syndrome may lead depression suicidal ideation increased academic dropout however scarcity evidence based intervention prevent aim longitudinal study identify factor may reduce student burnout foster well upon effective intervention developed methodsa total medical student eight chilean university asked complete set validated scale year later measure included distress burnout positive mental health academic engagement dispositional mindfulness using logistic regression two wave latent change score model predictive power variable burnout flourishing optimal state mental health studied well covariance across time resultsin total student answered questionnaire reported burnout level dispositional mindfulness ability pay attention one sensation thought emotion everyday life predicted lower probability burning year whereas experienced burnout doubled odds dispositional mindfulness academic engagement flourishing predicted greater odds flourishing year later depression decreased odds conclusion dispositional mindfulness powerful predictive factor student burnout flourishing dispositional mindfulness nurtured practice incorporating mindfulness training undergraduate medical program may help reduce burnout read,Article,2021.0,270,Oct 21,1,1,0,2.0,40,en,"[0.00336198 0.00332818 0.00351087 0.         0.17132207 0.
 0.00807728 0.         0.         0.04710716 0.00265923 0.        ]",education,0.0033619824659645815,0.0033281780499580397,0.0035108725147516163,0.0,0.17132207152824325,0.0,0.008077280508672654,0.0,0.0,0.04710715599401001,0.0026592293950398597,0.0,"{'neg': 0.099, 'neu': 0.703, 'pos': 0.198, 'compound': 0.93}","{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.34}",0.099,0.703,0.198,0.93,0.0,0.854,0.146,0.34,17,155,1,4,66.0
Realtalk Evidence-Based Communication Training: Development of a Conversation Analysis-Based Intervention Designed to be Delivered by Clinical Trainers,"['Ruth H Parry', 'Becky Whittaker', 'Marco Pino[...]', 'Christina Faull']",background communication skill training professional caring people life limiting condition demand evidence show transfer skill practice limited training improved building depth evidence reflecting complexity actual interaction scientific advance direct observational conversation analytic study conversation healthcare beyond provide evidence linguistic complexity often inaccessible clinical trainer address dilemma via novel training initiative realtalk designed support trainer increasing authenticity evidence base end life communication training health care staff trainee method conducted development study create communication intervention testing collaboration stakeholder identified rationale content mode delivery converted finding applied intervention tested refined intervention prior launching finished product result using conversation analytic approach made analysed video recording real life palliative care consultation large uk hospice transformed finding preliminary training resource comprising clip video recording accompanying written material shared material advisory group clinician educator researcher based feedback modified material trainer uk higher education institution healthcare organisation independent hospice piloted material within training fed back modification followed readiness evaluation acceptability usability effect read,Preprint,2021.0,400,Oct 14,1,1,0,2.0,43,en,"[8.57078794e-02 7.30249534e-05 1.30444042e-02 0.00000000e+00
 2.76603058e-02 3.98829897e-03 0.00000000e+00 3.53508832e-02
 1.77374100e-03 2.63361185e-02 4.92337045e-03 0.00000000e+00]",social_work,0.08570787937521021,7.302495336870741e-05,0.01304440417734357,0.0,0.02766030576816697,0.0039882989681844045,0.0,0.03535088318312109,0.0017737410047856854,0.026336118546377615,0.004923370454436706,0.0,"{'neg': 0.029, 'neu': 0.819, 'pos': 0.152, 'compound': 0.9648}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.029,0.819,0.152,0.9648,0.0,1.0,0.0,0.0,18,155,1,4,73.0
Does the platform matter? Social media and COVID-19 conspiracy theory beliefs in 17 countries,"['Yannis Theocharis', 'Ana Cardenal', 'Soyeon Jin[...]', 'Václav Štětka']",role medium spread conspiracy theory received much attention key deficit previous lack distinction different type platform study place role medium affordances facilitating spread conspiracy belief center enquiry examine relationship platform conspiracy theory belief related covid pandemic relying concept technological affordances theorize variation across key feature make platform fertile place conspiracy belief others using crossnational dataset based two wave online conducted country onset covid pandemic show twitter negative effect conspiracy beliefsas opposed platform examination found positive effect,Article,2021.0,276,Oct 10,1,1,0,19.0,370,en,"[0.         0.01756508 0.01548406 0.         0.00528761 0.
 0.00620144 0.         0.00416751 0.00118202 0.15171864 0.        ]",covid,0.0,0.017565084550226935,0.01548406488527793,0.0,0.005287606879727522,0.0,0.006201440375499739,0.0,0.004167508744556495,0.0011820215344445402,0.15171863692861312,0.0,"{'neg': 0.267, 'neu': 0.696, 'pos': 0.037, 'compound': -0.9686}","{'neg': 0.206, 'neu': 0.727, 'pos': 0.067, 'compound': -0.5106}",0.267,0.696,0.037,-0.9686,0.206,0.727,0.067,-0.5106,15,76,1,4,77.0
The Moral Career of a Suspected Legionary: Psychological Language in the Securitate Archives,"['Cristina Plamadeala', 'Cristian Tileaga']",explores notable us psychological language securitate archive examine securitate file concerning constantin vaman suspected legionary subjected surveillance work securitate seek show securitate activity particularly writing informer note operative report upshot strategic morally implicative psychological language constantin vamans securitate file used explore two category psychological language language mental state language disposition motive show securitates writing informer note operative report dependent strategic morally implicative psychological description argue close attention many facet psychological language used securitate document discussed may enable researcher understand fully complex nature inner working surveillance work,Article,2021.0,104,Oct 8,0,1,0,0.0,7,en,"[0.00868858 0.01866837 0.         0.0018758  0.00394254 0.00349105
 0.00093369 0.00891261 0.05217816 0.00497086 0.01442359 0.        ]",politics,0.008688577141306221,0.018668374767519903,0.0,0.001875802930087212,0.003942540487965193,0.0034910526874269996,0.0009336918225721814,0.008912610326609362,0.05217816345089094,0.004970860114075875,0.014423592980909833,0.0,"{'neg': 0.049, 'neu': 0.951, 'pos': 0.0, 'compound': -0.5106}","{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.2263}",0.049,0.951,0.0,-0.5106,0.147,0.853,0.0,-0.2263,14,86,1,2,
P66 Translation and validation of the swahili warwick edinburgh mental wellbeing scale (WEMWBS) and distribution of mental wellbeing in adolescents and adults taking part in the Girls’ Education Challenge project in Tanzania,"['Louise Banham', 'Elizabeth Bruno-McClung', 'Deus Kapinga[...]', 'Rebecca Willans']",background warwick edinburgh mental wellbeing scale wemwbs validated measuring mental wellbeing uk population aged translated language primary aim study translate validate wemwbs swahili speaking population facilitate measurement understanding wellbeing population evaluation policy practice enable international comparison secondary aim describe mental wellbeing participant girl education challenge gec project tanzania run camfed funded uk foreign commonwealth development office specifically examine sociodemographic characteristic associated higher lower wellbeing population method created short questionnaire including wemwbs similar scale comparison socio demographic information self reported health translated swahili using gold standard methodology aimed tool collect secondary school student girl boy learner guide teacher mentor teacher taking part gec programme tanzania quantitative analysis examined internal consistency wemwbs correlation comparator scale confirmatory factor analysis qualitative work ass acceptability comprehensibility wemwbs conceptual understanding mental wellbeing carried focus group gec participant audio taped transcribed analysed thematically finally used multivariable logistic regression explore association individual characteristic low read,Conference Paper,2021.0,217,Sep 7,0,0,0,0.0,7,en,"[0.03434832 0.         0.0027168  0.00798024 0.07817765 0.
 0.         0.01170915 0.00046366 0.04855826 0.01898567 0.01925831]",education,0.034348318912414424,0.0,0.00271679958127142,0.007980241145365318,0.07817764661915773,0.0,0.0,0.01170914513128824,0.00046366228156172917,0.04855825820740549,0.018985670762475756,0.019258311984269524,"{'neg': 0.05, 'neu': 0.888, 'pos': 0.063, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.96, 'pos': 0.04, 'compound': 0.0772}",0.05,0.888,0.063,0.0,0.0,0.96,0.04,0.0772,35,147,1,4,
Survey and Focus Group Pilot,['Charlie E Sutton'],focus group access student experience university primary purpose provide information experience university access student college facilitated secondary purpose pilot online focus group question phd project,Experiment Findings,2021.0,400,Sep 3,1,1,1,1.0,18,en,"[0.         0.         0.         0.         0.28769221 0.
 0.         0.         0.         0.         0.         0.01245656]",education,0.0,0.0,0.0,0.0,0.2876922140992486,0.0,0.0,0.0,0.0,0.0,0.0,0.012456564102689336,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5,25,1,1,
First Impressions Survey,['Charlie E Sutton'],focussed first year student experience applying university experience university life first week,Experiment Findings,2021.0,400,,1,1,0,0.0,25,en,"[0.         0.         0.         0.00262958 0.23553996 0.
 0.         0.         0.00351077 0.         0.         0.        ]",education,0.0,0.0,0.0,0.002629578598873558,0.23553996480850578,0.0,0.0,0.0,0.003510773584990865,0.0,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.2263}",0.0,1.0,0.0,0.0,0.0,0.513,0.487,0.2263,3,12,1,1,
