title,authers,abstract,type,date_pub,journal,date_added,figuers,full_text,citation,interest,reads,or_abt,topic_dist,main_topic,topic_dist_cx,main_topic_cx,topic_dist2,main_topic2,politics_and_economics,sexuality,covid,women,criminology,education,health_medicine,child_family,community_service,t_length_w,a_length_s,a_length_w,abstract_sent,title_sent,a_neg,a_neu,a_pos,a_compound,t_neg,t_neu,t_pos,t_compound,authers_num,date_days
Myths about Myths? A Commentary on Thomas (2020) and the Question of Jury Rape Myth Acceptance,"['Ellen Daly', 'Olivia Smith', 'Hannah Bows[...]', 'Dominic Willmott']",commentary responds claim cheryl thomas show problem rape myth english welsh jury critique claim basis ambiguous design false distinction real juror participant conflation attitude relation abstract versus applied rape myth misleading interpretation ultimately call balanced appraisal individual study contextualising wider,Article,2021.0,313,6d ago,1,1,0,1.0,32,"This commentary responds to claims that research by Cheryl Thomas 'shows' no problem with rape myths in English and Welsh juries. We critique the claim on the basis of ambiguous survey design, a false distinction between 'real' jurors and other research participants, the conflation of attitudes in relation to abstract versus applied rape myths, and misleading interpretation of the data. Ultimately, we call for a balanced appraisal of individual studies by contextualising them against the wider literature.","[0.0167718582, 0.0103844733, 1.96363058e-05, 0.0, 0.00553509076, 0.0, 0.0144089706, 0.00441812237, 0.00364887484, 0.00710229346, 0.000369368886, 0.0]",politics,"[1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 9.99999e-01
 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06]",criminology,"[0.01842172, 0.01106943, 0.0, 0.0, 0.00864838, 0.0, 0.016576, 0.00557277, 0.00069649]",politics_and_economics,0.01842172,0.01106943,0.0,0.0,0.00864838,0.0,0.016576,0.00557277,0.00069649,19,3,40,"{'neg': 0.291, 'neu': 0.709, 'pos': 0.0, 'compound': -0.9413}","{'neg': 0.227, 'neu': 0.628, 'pos': 0.145, 'compound': -0.4019}",0.291,0.709,0.0,-0.9413,0.227,0.628,0.145,-0.4019,4,6.0
A direct observation of pain scale use in five video-recorded palliative care consultations: Using conversation analysis to show how practitioners support patients to describe pain,"['Laura Jenkins', 'Ruth H Parry', 'Christina Faull']",assessing pain intensity important palliative care task self report pain intensity scale frequently within assessment contrast formal study validity reliability examine administration response scale everyday palliative care method searched episode pain scale dataset video audio recorded uk palliative care consultation involving five doctor terminally ill patient companion found five applied technique tool conversation characterise scale administration functioning result generally patient responded scale reporting multiple aspect pain doctor supported encouraged episode scale generated misunderstanding doctor worked resolve way avoided implying patient fault conclusion pain intensity scale yield richer information intensity generate misunderstanding friction take skill effort resolve practice implication patient tend respond pain intensity scale reporting multiple aspect pain professional support scale sometimes generate misunderstanding preserve therapeutic relationship professional work resolve without implying patient blame,Article,2021.0,416,Oct 28,0,0,0,0.0,9,"Objective Assessing pain intensity is an important palliative care task. Self-report pain intensity scales are frequently used within assessment. In contrast to formal studies of validity and reliability, we examine administration of, and responses to these scales in everyday palliative care. Methods We searched episodes of pain scale use in a dataset of (video/audio-recorded) UK palliative care consultations involving five doctors, 37 terminally ill patients and their companions. We found five, and applied the techniques and tools of conversation analysis to characterise scales’ administration and functioning. Results Generally, the patients responded to scales by reporting multiple aspects of pain; the doctors supported and encouraged this. In two episodes, the scales generated misunderstandings. The doctors worked to resolve these in ways that avoided implying the patient was at fault. Conclusion Pain intensity scales can yield richer information than just intensity. They can also generate misunderstandings and social friction which take skill and effort to resolve. Practice Implications Patients tend to respond to pain intensity scales by reporting on multiple aspects of pain, professionals should support them in this. These scales sometimes generate misunderstandings. To preserve the therapeutic relationship, professionals should work to resolve these without implying the patient is to blame.","[0.0, 0.0, 0.0, 0.0, 0.02071058, 0.0, 0.07085032, 0.0, 0.0, 0.0, 0.07805233, 0.0]",community_service,"[1.00000000e-06 1.00000000e-06 1.55170516e-05 9.99999000e-01
 9.99999000e-01 4.05705183e-06 1.00000000e-06 1.00000000e-06
 1.00000000e-06 1.00000000e-06 1.00000000e-06 9.99999000e-01]",community_service,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0767758, 0.0, 0.09029537]",community_service,0.0,0.0,0.0,0.0,0.0,0.0,0.0767758,0.0,0.09029537,26,13,124,"{'neg': 0.231, 'neu': 0.581, 'pos': 0.188, 'compound': -0.8506}","{'neg': 0.203, 'neu': 0.615, 'pos': 0.182, 'compound': -0.1779}",0.231,0.581,0.188,-0.8506,0.203,0.615,0.182,-0.1779,3,59.0
The Cold Truth: Art as Fulcrum for Recovery in Participants and for Civic Change,['Eloise Malone'],describes art curating sexually exploited young people review cold truth exhibition produced cse survivor radiant gallery plymouth uk proposes quality art produced young people catalyse civic change public engagement service commissioner adoption pathway psychosocial recovery participant examines transformative power art object created intervention draw frogett et al aesthetic third propose artwork fulcrum silenced child community avoid unpalatable truth proposes artwork eliciting empathetic response powerful stimulating sympathetic response offer matarassos indicator great art language consider quality art created child advocate service leader commissioner quality art process design deliver effective service,Article,2017.0,351,Oct 25,0,1,1,0.0,22,"This article describes art curating with sexually exploited young people. It reviews The Cold Truth: an exhibition produced by CSE survivors at Radiant Gallery, Plymouth, UK, 2016. The article proposes that the quality of the art produced by young people can catalyse social and civic change through public engagement and service commissioner adoption; and a pathway to psychosocial recovery for participants. It examines the transformative power of the art object created during the intervention. The article draws on Frogett et al’s “Aesthetic Third” to propose artwork as a fulcrum between silenced children, and communities which avoid unpalatable truths. It proposes that artworks eliciting empathetic responses are more powerful than those stimulating sympathetic responses. It offers Matarasso’s indicators of great art as language to consider the quality of art created by children, and to advocate that service leaders and commissioners use quality art processes to design and deliver effective services.","[0.01083301, 0.0, 0.0, 0.0, 0.00224853, 0.0, 0.0, 0.07079437, 0.0, 0.00134425, 0.09173428, 0.0]",community_service,"[1.00000000e-06 1.00000000e-06 1.00000000e-06 9.99999000e-01
 1.00000000e-06 9.99999000e-01 9.99999000e-01 9.99999000e-01
 1.00000000e-06 2.23225694e-05 1.00000000e-06 1.00000000e-06]",community_service,"[0.00831823, 0.0, 0.0, 0.0, 0.00273169, 0.0, 0.0, 0.07349919, 0.10296051]",community_service,0.00831823,0.0,0.0,0.0,0.00273169,0.0,0.0,0.07349919,0.10296051,15,7,89,"{'neg': 0.045, 'neu': 0.642, 'pos': 0.313, 'compound': 0.9816}","{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.3182}",0.045,0.642,0.313,0.9816,0.0,0.85,0.15,0.3182,1,62.0
Dispositional Mindfulness Reduces Burnout and Promotes Flourishing in Medical Students: a Two-Wave Latent Change Score Model,"['Denisse Zúñiga', 'Manuel Torres-Sahli', 'Attilio Rigotti[...]', 'Marcela Bitran']",objective many study document high prevalence burnout among medical student syndrome may lead depression suicidal ideation increased academic dropout however scarcity evidence based intervention prevent aim longitudinal study identify factor may reduce student burnout foster well upon effective intervention developed methodsa total medical student eight chilean university asked complete set validated scale year later measure included distress burnout positive mental health academic engagement dispositional mindfulness using logistic regression wave latent change score model predictive power variable burnout flourishing optimal state mental health studied well covariance across time resultsin total student answered questionnaire reported burnout level dispositional mindfulness ability pay attention one sensation thought emotion everyday life predicted lower probability burning year whereas experienced burnout doubled odds dispositional mindfulness academic engagement flourishing predicted greater odds flourishing year later depression decreased odds conclusion dispositional mindfulness powerful predictive factor student burnout flourishing dispositional mindfulness nurtured practice incorporating mindfulness training undergraduate medical program may help reduce burnout read,Article,2021.0,382,Oct 21,1,1,0,2.0,40,"Objectives Many studies document the high prevalence of burnout among medical students. This syndrome may lead to depression, suicidal ideation, and increased academic dropout. However, there is a scarcity of evidence-based interventions to prevent it. The aim of this longitudinal study was to identify factors that may reduce students’ burnout and foster their well-being, and upon which effective interventions can be developed.MethodsA total of 1,117 medical students from eight Chilean universities were asked to complete a set of validated scales in 2015 and 2 years later, in 2017. The measures included distress, burnout, positive mental health, academic engagement, and dispositional mindfulness. Using logistic regressions and a two-wave latent change score model, the predictive power of these variables on burnout and flourishing (an optimal state of mental health) was studied, as well as their covariance across time.ResultsIn total, 639 (57.2%) students answered the questionnaires in T1 and T2; 54.4% reported burnout in T1 and 56.2% in T2. Levels of dispositional mindfulness (the ability to pay attention to one’s sensations, thoughts, and emotions in everyday life) predicted lower probabilities of burning out at 2 years, whereas having experienced burnout in T1 doubled these odds. Dispositional mindfulness, academic engagement, and flourishing at T1 predicted greater odds of flourishing 2 years later, while depression decreased these odds.Conclusions Dispositional mindfulness was the most powerful predictive factor of students’ burnout and flourishing. As dispositional mindfulness can be nurtured through practice, incorporating mindfulness training into undergraduate medical programs may help reduce burnout a
… Read more","[0.0, 0.0, 0.05170067, 0.0, 0.0, 0.15806501, 0.04236681, 0.0, 0.0, 0.00117058, 0.0, 0.0]",education,"[9.99999000e-01 9.99999000e-01 9.99999000e-01 9.99999000e-01
 9.99999000e-01 1.00000000e-06 1.00000000e-06 9.99999000e-01
 2.17452152e-06 1.00000000e-06 1.00000000e-06 9.99999000e-01]",politics,"[0.0, 0.0, 0.05381117, 0.0, 0.00119793, 0.16666745, 0.04545022, 0.0, 0.0]",education,0.0,0.0,0.05381117,0.0,0.00119793,0.16666745,0.04545022,0.0,0.0,17,9,154,"{'neg': 0.1, 'neu': 0.701, 'pos': 0.199, 'compound': 0.93}","{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.34}",0.1,0.701,0.199,0.93,0.0,0.854,0.146,0.34,4,66.0
Realtalk Evidence-Based Communication Training: Development of a Conversation Analysis-Based Intervention Designed to be Delivered by Clinical Trainers,"['Ruth H Parry', 'Becky Whittaker', 'Marco Pino[...]', 'Christina Faull']",background communication skill training professional caring people life limiting condition demand evidence show transfer skill practice limited training improved building depth evidence reflecting complexity actual interaction scientific advance direct observational conversation analytic study conversation healthcare beyond provide evidence linguistic complexity often inaccessible clinical trainer address dilemma via novel training initiative realtalk designed support trainer increasing authenticity evidence base end life communication training health care staff trainee method conducted development study create communication intervention testing collaboration stakeholder identified rationale content mode delivery converted finding applied intervention tested refined intervention prior launching finished product result using conversation analytic approach made analysed video recording real life palliative care consultation large uk hospice transformed finding preliminary training resource comprising clip video recording accompanying written material shared material advisory group clinician educator researcher based feedback modified material trainer uk higher education institution healthcare organisation independent hospice piloted material within training fed back modification followed readiness evaluation acceptability usability effect read,Preprint,2021.0,569,Oct 14,1,1,0,2.0,43,"BACKGROUND Communication skills training for professionals caring for people with life-limiting conditions is in demand. Evidence shows that transfer of skills into practice is limited. Training can be improved by building on in-depth evidence and reflecting the complexity of actual interactions. Scientific advances from direct observational ‘conversation analytic’ studies of conversations in healthcare and beyond provide this evidence, but the linguistic complexities are often inaccessible to clinical trainers. We address this dilemma via a novel training initiative, ‘RealTalk’, designed to support trainers by increasing the authenticity and evidence base of end-of-life communication training for health and social care staff and trainees. METHODS We conducted a development study to create a communication intervention for testing. In collaboration with stakeholders, we identified the rationale for the content and mode of delivery, converted research findings into an applied intervention, and tested and refined the intervention prior to launching the finished product. RESULTS Using a conversation analytic approach, we made and analysed video recordings of real-life palliative care consultations in a large UK hospice. We transformed our findings into preliminary training resources comprising clips from the video recordings and accompanying written materials. We shared the materials with an advisory group of clinicians, educators and researchers. Based on feedback, we modified the materials. Trainers in UK higher education institutions, healthcare organisations and independent hospices piloted our materials within their own training and fed back. Further modifications followed in readiness for evaluation of acceptability, usability and effects
… Read more","[0.0, 0.0, 0.0, 0.0, 0.00188674, 0.03486316, 0.03284306, 0.01731215, 0.0, 0.01894281, 0.13788405, 0.00236374]",community_service,"[1.00000e-06 1.00000e-06 9.99999e-01 9.99999e-01 1.00000e-06 1.00000e-06
 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 9.99999e-01]",education,"[0.0, 0.0, 0.0, 0.0, 0.02244224, 0.03732136, 0.03647395, 0.01653468, 0.14910041]",community_service,0.0,0.0,0.0,0.0,0.02244224,0.03732136,0.03647395,0.01653468,0.14910041,18,13,155,"{'neg': 0.029, 'neu': 0.819, 'pos': 0.152, 'compound': 0.9648}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.029,0.819,0.152,0.9648,0.0,1.0,0.0,0.0,4,73.0
Does the platform matter? Social media and COVID-19 conspiracy theory beliefs in 17 countries,"['Yannis Theocharis', 'Ana Cardenal', 'Soyeon Jin[...]', 'Václav Štětka']",role medium spread conspiracy theory received much attention key deficit previous lack distinction different type platform study place role medium affordances facilitating spread conspiracy belief center enquiry examine relationship platform conspiracy theory belief related covid pandemic relying concept technological affordances theorize variation across key feature make platform fertile place conspiracy belief others using crossnational dataset based wave online conducted country onset covid pandemic show twitter negative effect conspiracy beliefsas opposed platform examination found positive effect,Article,2021.0,399,Oct 10,1,1,0,19.0,370,"While the role of social media in the spread of conspiracy theories has received much attention, a key deficit in previous research is the lack of distinction between different types of platforms. This study places the role of social media affordances in facilitating the spread of conspiracy beliefs at the center of its enquiry. We examine the relationship between platform use and conspiracy theory beliefs related to the COVID-19 pandemic. Relying on the concept of technological affordances, we theorize that variation across key features make some platforms more fertile places for conspiracy beliefs than others. Using data from a crossnational dataset based on a two-wave online survey conducted in 17 countries before and after the onset of the COVID-19 pandemic, we show that Twitter has a negative effect on conspiracy beliefs—as opposed to all other platforms under examination which are found to have a positive effect.","[0.011248, 0.0, 0.13278853, 0.0, 0.00059997, 0.02139743, 0.01126458, 0.0, 0.0, 0.00374594, 0.0, 0.01282312]",covid,"[1.00000000e-06 9.99999000e-01 1.00000000e-06 1.00000000e-06
 1.00000000e-06 1.00000000e-06 1.00000000e-06 1.54857013e-06
 9.99999000e-01 2.63588340e-06 1.00000000e-06 1.00000000e-06]",covid,"[0.01275377, 0.0, 0.13830876, 0.0, 0.00355007, 0.02406563, 0.01380995, 0.0, 0.0]",covid,0.01275377,0.0,0.13830876,0.0,0.00355007,0.02406563,0.01380995,0.0,0.0,15,5,75,"{'neg': 0.27, 'neu': 0.693, 'pos': 0.038, 'compound': -0.9686}","{'neg': 0.206, 'neu': 0.727, 'pos': 0.067, 'compound': -0.5106}",0.27,0.693,0.038,-0.9686,0.206,0.727,0.067,-0.5106,4,77.0
The Moral Career of a Suspected Legionary: Psychological Language in the Securitate Archives,"['Cristina Plamadeala', 'Cristian Tileaga']",explores notable us psychological language securitate archive examine securitate file concerning constantin vaman suspected legionary subjected surveillance work securitate seek show securitate activity particularly writing informer note operative report upshot strategic morally implicative psychological language constantin vamans securitate file explore category psychological language language mental state language disposition motive show securitates writing informer note operative report dependent strategic morally implicative psychological description argue close attention many facet psychological language securitate document discussed may enable researcher understand fully complex nature inner working surveillance work,Article,2021.0,144,Oct 8,0,1,0,0.0,7,"This article explores some notable uses of psychological language in the Securitate archives. We examine Securitate files concerning Constantin Vaman, a suspected legionary subjected to surveillance work by the Securitate. This article seeks to show how Securitate activities, particularly the writing of informer notes and operatives’ reports, are the upshot of strategic use of morally implicative psychological language. Constantin Vaman’s Securitate files are used to explore two categories of psychological language: the language of mental states and the language of disposition and motive. We show that Securitate’s writing of informer notes and operatives’ reports were dependent on the strategic use of morally implicative psychological descriptions. We argue that close attention to the many facets of psychological language used in Securitate documents discussed in this article may enable researchers to understand more fully the complex nature and inner workings of surveillance work.","[0.01306088, 0.0, 0.03878825, 0.0, 0.0, 0.00507544, 0.0, 0.00282001, 0.0, 0.0, 0.00293685, 0.05503788]",politics,"[9.99999000e-01 1.00000000e-06 1.00000000e-06 8.70183240e-06
 9.99999000e-01 1.00000000e-06 1.00000000e-06 1.00000000e-06
 1.00000000e-06 7.54580733e-06 1.00000000e-06 1.00000000e-06]",politics,"[0.02164191, 0.0, 0.04121077, 0.0, 0.0, 0.00766409, 0.0, 0.00124983, 0.00394042]",covid,0.02164191,0.0,0.04121077,0.0,0.0,0.00766409,0.0,0.00124983,0.00394042,14,6,83,"{'neg': 0.05, 'neu': 0.95, 'pos': 0.0, 'compound': -0.5106}","{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.2263}",0.05,0.95,0.0,-0.5106,0.147,0.853,0.0,-0.2263,2,
P66 Translation and validation of the swahili warwick edinburgh mental wellbeing scale (WEMWBS) and distribution of mental wellbeing in adolescents and adults taking part in the Girls’ Education Challenge project in Tanzania,"['Louise Banham', 'Elizabeth Bruno-McClung', 'Deus Kapinga[...]', 'Rebecca Willans']",background warwick edinburgh mental wellbeing scale wemwbs validated measuring mental wellbeing uk population aged translated language primary aim study translate validate wemwbs swahili speaking population facilitate measurement understanding wellbeing population evaluation policy practice enable international comparison secondary aim describe mental wellbeing participant girl education challenge gec project tanzania run camfed funded uk foreign commonwealth development office specifically examine sociodemographic characteristic associated higher lower wellbeing population method created short questionnaire including wemwbs similar scale comparison socio demographic information self reported health translated swahili using gold standard methodology aimed tool collect secondary school student girl boy learner guide teacher mentor teacher taking part gec programme tanzania quantitative examined internal consistency wemwbs correlation comparator scale confirmatory factor qualitative work ass acceptability comprehensibility wemwbs conceptual understanding mental wellbeing carried focus group gec participant audio taped transcribed analysed thematically finally multivariable logistic regression explore association individual characteristic low read,Conference Paper,2021.0,305,Sep 7,0,0,0,0.0,7,"Background The Warwick Edinburgh Mental Wellbeing Scale (WEMWBS) is validated for measuring mental wellbeing in UK populations aged 11+ and has been translated into 30+ languages. The primary aim of this study was to translate and validate WEMWBS for use in Swahili-speaking populations. This will facilitate measurement and understanding of wellbeing in these populations, evaluation of policy and practice, and enable international comparisons. The secondary aim was to describe mental wellbeing in the participants of the Girls’ Education Challenge (GEC) project in Tanzania, run by CAMFED and funded through the UK’s Foreign, Commonwealth and Development Office. Specifically, to examine sociodemographic characteristics associated with higher and lower wellbeing in this population. Methods We created a short questionnaire including WEMWBS and similar scales for comparison, socio-demographic information and self-reported health. This was translated into Swahili using gold standard methodology. We aimed to use this tool to collect data from secondary school students (girls and boys), learner guides, teacher mentors and teachers taking part in the GEC programme in Tanzania. Quantitative data analysis examined internal consistency of WEMWBS, correlation with comparator scales and confirmatory factor analysis. Qualitative work to assess acceptability and comprehensibility of WEMWBS and conceptual understanding of mental wellbeing was carried out through focus groups with GEC participants. These were audio-taped, transcribed and analysed thematically. Finally, we used multivariable logistic regression to explore associations between individual characteristics and ‘low’ and ‘
… Read more","[0.0, 0.00109307, 0.06012823, 0.00270565, 0.00318995, 0.09157011, 0.05676635, 0.00341869, 0.00536414, 0.0, 0.02201507, 0.0]",education,"[1.00000e-06 1.00000e-06 9.99999e-01 1.00000e-06 9.99999e-01 1.00000e-06
 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 9.99999e-01]",education,"[0.0, 0.00127838, 0.06272484, 0.0022902, 0.0, 0.09592007, 0.06320316, 0.00393276, 0.02589914]",education,0.0,0.00127838,0.06272484,0.0022902,0.0,0.09592007,0.06320316,0.00393276,0.02589914,35,12,144,"{'neg': 0.051, 'neu': 0.885, 'pos': 0.064, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.96, 'pos': 0.04, 'compound': 0.0772}",0.051,0.885,0.064,0.0,0.0,0.96,0.04,0.0772,4,
Survey and Focus Group Pilot,['Charlie E Sutton'],focus group access student experience university primary purpose provide information experience university access student college facilitated secondary purpose pilot online focus group question phd project,Experiment Findings,2021.0,569,Sep 3,1,1,1,1.0,18,Survey and focus group research on Access students experiences at University. Primary purpose of this research was to provide information on experiences at university for Access students at the college who facilitated the research. The secondary purpose was to pilot an online survey and focus group questions for my PhD project.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.30641435, 0.0, 0.0, 0.00614924, 0.0, 0.00037508, 0.0]",education,"[1.00000e-06 1.00000e-06 9.99999e-01 1.00000e-06 1.00000e-06 1.00000e-06
 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06]",education,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.3248865, 0.0, 0.0, 0.00140128]",education,0.0,0.0,0.0,0.0,0.0,0.3248865,0.0,0.0,0.00140128,5,3,25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,
First Impressions Survey,['Charlie E Sutton'],focussed first year student experience applying university experience university life first week,Experiment Findings,2021.0,569,,1,1,0,0.0,25,Survey research focussed on first-year students experiences of applying to University and their experience of university life in their first few weeks.,"[0.0, 0.0, 0.0, 0.000111543961, 0.0, 0.252517507, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",education,"[1.00000e-06 1.00000e-06 9.99999e-01 1.00000e-06 1.00000e-06 1.00000e-06
 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06]",education,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.26846492, 0.0, 0.0, 0.0]",education,0.0,0.0,0.0,0.0,0.0,0.26846492,0.0,0.0,0.0,3,1,12,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.2263}",0.0,1.0,0.0,0.0,0.0,0.513,0.487,0.2263,1,
